,Ram,Weight,Price,Gaming,Netbook,Notebook,Ultrabook,Workstation,Intel,Nvidia,Mac,Windows
0,8,1.37,11.175754549129524,0,0,0,1,0,1,0,1,0
1,8,1.34,10.77677731765335,0,0,0,1,0,1,0,1,0
2,8,1.86,10.329931067029484,0,0,1,0,0,1,0,0,0
3,16,1.83,11.814475944954545,0,0,0,1,0,0,0,1,0
4,8,1.37,11.473100972779063,0,0,0,1,0,1,0,1,0
5,4,2.1,9.967025573340116,0,0,1,0,0,0,0,0,1
6,16,2.04,11.64410811545818,0,0,0,1,0,1,0,1,0
7,8,1.34,11.03061499223515,0,0,0,1,0,1,0,1,0
8,16,1.3,11.28544251205692,0,0,0,1,0,0,1,0,1
9,8,1.6,10.621951541079865,0,0,0,1,0,1,0,0,1
10,4,1.86,9.951658096208996,0,0,1,0,0,1,0,0,0
11,4,1.86,9.81907645733616,0,0,1,0,0,1,0,0,0
12,16,1.83,11.775302049361828,0,0,0,1,0,0,0,1,0
13,4,2.2,10.187966701099125,0,0,1,0,0,0,0,0,1
14,8,0.92,11.116330976323743,0,0,0,1,0,1,0,1,0
15,8,1.37,11.301072237406668,0,0,0,1,0,1,0,1,0
16,8,2.2,10.588945244611692,0,0,1,0,0,0,0,0,1
17,16,1.83,11.933438384721946,0,0,0,1,0,0,0,1,0
18,8,2.2,10.188167121983652,0,0,1,0,0,0,1,0,0
19,8,1.22,10.862092668762644,0,0,0,1,0,1,0,0,1
20,2,0.98,9.232535429245788,0,1,0,0,0,1,0,0,1
21,8,2.5,10.882315804880689,1,0,0,0,0,0,1,0,1
22,4,1.86,9.528520611153752,0,0,1,0,0,0,0,0,0
23,8,1.62,10.683645110085203,0,0,0,0,0,1,0,0,1
24,8,1.91,10.46628456073464,0,0,0,1,0,1,0,0,1
25,4,2.3,10.012572388296086,0,0,1,0,0,1,0,0,1
26,8,1.35,10.977716980635757,0,0,0,1,0,1,0,1,0
27,8,2.2,10.660172753900062,0,0,1,0,0,0,0,0,1
28,8,1.88,11.144140923496169,0,0,0,1,0,1,0,0,1
29,8,2.5,10.773501439207063,0,0,1,0,0,0,1,0,1
30,4,1.89,9.476778419617322,0,0,1,0,0,1,0,0,1
31,2,1.65,9.268865850956626,0,0,1,0,0,0,0,0,1
32,4,2.71,10.060060439307303,0,0,1,0,0,0,0,0,1
33,16,1.2,11.508719833687696,0,0,0,1,0,1,0,0,1
34,8,1.35,10.881314302543595,0,0,0,1,0,1,0,1,0
35,4,1.44,9.49301392269684,0,0,1,0,0,1,0,0,1
36,4,2.1,9.880922874286703,0,0,1,0,0,1,0,0,0
37,8,2.8,10.862092668762644,0,0,1,0,0,0,0,0,1
38,4,1.86,10.167289367847482,0,0,1,0,0,1,0,0,1
39,8,2.1,10.754345923917311,0,0,1,0,0,0,1,0,1
40,4,2.0,9.93914036985058,0,0,1,0,0,1,0,0,0
41,16,2.65,11.288114524334732,1,0,0,0,0,0,1,0,1
42,8,2.3,10.235123369655367,0,0,1,0,0,0,1,0,0
43,4,2.2,10.500590684075595,0,0,1,0,0,1,0,0,1
44,12,2.77,10.882315804880689,0,0,0,0,0,0,1,0,1
45,8,1.37,11.233268703392175,0,0,0,1,0,1,0,1,0
46,4,2.2,9.88635767027266,0,0,1,0,0,1,0,0,0
47,8,3.2,11.144911042902732,1,0,0,0,0,0,0,0,1
48,4,2.3,10.435465480609668,0,0,1,0,0,0,0,0,1
49,4,2.8,10.11974666035778,0,0,1,0,0,0,1,0,1
50,4,0.69,9.74075212901698,0,0,0,0,0,1,0,0,0
51,8,2.2,10.71015268620508,0,0,1,0,0,0,1,0,1
52,4,1.86,9.963243430044656,0,0,1,0,0,0,0,0,1
53,8,1.49,10.981350045485636,0,0,1,0,0,1,0,0,1
54,4,2.4,9.92620357881986,0,0,1,0,0,1,0,0,1
55,8,2.13,10.619090308798832,0,0,1,0,0,0,0,0,1
56,4,1.91,10.060060439307303,0,0,1,0,0,1,0,0,1
57,4,2.0,10.349204995339194,0,0,1,0,0,1,0,0,1
58,16,2.43,11.7789960831843,1,0,0,0,0,0,1,0,1
59,4,2.0,10.003839546462832,0,0,1,0,0,1,0,0,0
60,16,2.8,11.144911042902732,0,0,1,0,0,0,0,0,1
61,8,1.7,10.754345923917311,0,0,0,1,0,1,0,0,1
62,8,1.7,10.370822624347584,0,0,1,0,0,1,0,0,0
63,8,1.4,10.822504165817511,0,0,1,0,0,1,0,0,1
64,8,1.86,10.51225262382344,0,0,1,0,0,1,0,0,1
65,16,1.8,11.56792715475193,0,0,0,1,0,0,1,0,1
66,4,1.86,10.059354039524033,0,0,1,0,0,0,0,0,1
67,4,1.44,9.409283029786373,0,0,1,0,0,1,0,0,1
68,4,1.9,10.283659467741664,0,0,1,0,0,1,0,0,1
69,12,3.0,10.83096982484206,1,0,0,0,0,0,1,0,0
70,4,1.252,10.968576149165091,0,0,0,1,0,1,0,0,1
71,8,1.4,10.837272366712863,0,0,0,1,0,0,0,0,1
72,8,2.2,10.744054237880762,0,0,1,0,0,0,0,0,1
73,8,2.7,10.974070668482735,1,0,0,0,0,0,1,0,1
74,8,2.1,9.93914036985058,0,0,1,0,0,1,0,0,1
75,8,2.2,10.83096982484206,1,0,0,0,0,0,1,0,1
76,8,2.2,10.227464909398025,0,0,1,0,0,1,0,0,0
77,8,2.02,10.726662495168894,0,0,1,0,0,1,0,0,1
78,4,2.2,10.2484380327783,0,0,1,0,0,0,1,0,1
79,8,2.5,10.860047678274915,0,0,1,0,0,0,1,0,1
80,8,1.88,10.975129468486722,0,0,0,1,0,1,0,0,1
81,8,0.92,11.295425956041104,0,0,0,1,0,1,0,1,0
82,8,1.63,10.732493415479688,0,0,1,0,0,1,0,0,1
83,4,2.2,9.964522443121997,0,0,1,0,0,0,0,0,1
84,4,2.1,9.954446791133256,0,0,1,0,0,0,0,0,1
85,16,2.65,11.18267988243989,1,0,0,0,0,0,1,0,1
86,8,1.83,10.525211768465944,0,0,0,1,0,0,1,0,1
87,8,1.96,10.370805929717411,0,0,1,0,0,1,0,0,1
88,16,2.2,11.254189968552817,1,0,0,0,0,0,1,0,1
89,8,1.21,11.383485348791732,0,0,0,1,0,1,0,0,1
90,8,2.45,10.525211768465944,1,0,0,0,0,0,0,0,1
91,8,2.2,10.510802297245792,0,0,1,0,0,0,1,0,1
92,16,1.49,11.063134731790107,0,0,1,0,0,1,0,0,1
93,8,2.65,11.061462490597744,1,0,0,0,0,0,1,0,1
94,8,1.25,10.931153634628432,0,0,0,1,0,1,0,0,1
95,8,1.5,10.717261720884188,0,0,0,0,0,1,0,0,1
96,8,2.2,10.37232400089118,0,0,1,0,0,0,0,0,0
97,4,2.2,10.159709917169616,0,0,1,0,0,0,0,0,0
98,6,2.0,10.333403292740233,0,0,1,0,0,0,1,0,1
99,12,2.62,11.105659536357711,1,0,0,0,0,0,1,0,1
100,8,1.91,10.55342238395318,0,0,1,0,0,0,0,0,1
101,4,2.1,9.83063294843456,0,0,1,0,0,0,0,0,1
102,8,2.2,10.447907320733034,0,0,1,0,0,0,0,0,0
103,8,1.38,10.99575173454406,0,0,0,1,0,0,1,0,1
104,8,1.252,11.17598591917709,0,0,0,1,0,1,0,0,1
105,6,1.58,10.46628456073464,0,0,1,0,0,0,1,0,1
106,4,1.85,10.003598553570956,0,0,1,0,0,1,0,0,1
107,8,1.3,11.05978744833005,0,0,0,1,0,0,1,0,1
108,16,2.2,11.144911042902732,1,0,0,0,0,0,1,0,1
109,8,1.58,11.275358392990295,0,0,1,0,0,1,0,0,1
110,16,1.5,11.116014069333293,0,0,0,1,0,0,1,0,1
111,8,1.23,11.204674904025437,0,0,0,1,0,1,0,0,1
112,8,1.37,11.219074000897615,0,0,0,0,0,1,0,0,1
113,4,1.63,10.55758616512496,0,0,1,0,0,1,0,0,1
114,8,1.21,11.37128263483418,0,0,0,1,0,1,0,0,1
115,8,1.26,11.219066852909238,0,0,0,0,0,1,0,0,1
116,8,1.63,10.963974208231726,0,0,1,0,0,1,0,0,1
117,8,2.16,11.005825930702713,0,0,1,0,0,0,1,0,1
118,4,2.0,10.310615277730191,0,0,1,0,0,0,1,0,1
119,8,1.7,10.994857679947176,0,0,1,0,0,0,1,0,1
120,6,2.1,10.147261623643049,0,0,1,0,0,1,0,0,1
121,16,1.8,11.690461589827628,1,0,0,0,0,0,1,0,1
122,8,2.2,10.419692282932576,0,0,1,0,0,0,1,0,0
123,16,2.5,11.123120297421588,0,0,1,0,0,0,1,0,1
124,4,2.1,10.087028365734811,0,0,1,0,0,0,0,0,1
125,4,1.86,9.532389087931673,0,0,1,0,0,1,0,0,0
126,8,1.63,10.675061366393813,0,0,1,0,0,1,0,0,1
127,4,1.65,9.603146168052769,0,0,1,0,0,0,0,0,1
128,16,2.8,11.216927309554451,0,0,1,0,0,0,0,0,1
129,8,2.5,10.808592759018332,0,0,1,0,0,1,0,0,1
130,8,2.36,10.435449831034946,0,0,1,0,0,0,0,0,1
131,4,2.2,10.082583913974387,0,0,1,0,0,0,0,0,1
132,8,1.6,10.760018088869778,0,0,0,1,0,1,0,0,1
133,4,2.2,10.324700017611931,0,0,1,0,0,0,1,0,1
134,8,2.05,10.369151780182763,0,0,1,0,0,1,0,0,1
135,8,1.63,10.87124372398,0,0,1,0,0,1,0,0,1
136,4,1.9,9.506417665734745,0,0,1,0,0,1,0,0,0
137,8,3.0,10.81931097523836,1,0,0,0,0,0,1,0,1
138,4,2.2,10.188167121983652,0,0,1,0,0,0,1,0,0
139,4,1.32,10.525211768465944,0,0,1,0,0,1,0,0,1
140,4,3.0,10.460196261867386,0,0,1,0,0,0,1,0,1
141,8,1.75,10.99308509015976,0,0,1,0,0,0,0,0,1
142,8,2.4,10.742904151497523,1,0,0,0,0,0,1,0,0
143,4,2.1,10.375818471540954,0,0,1,0,0,1,0,0,1
144,4,1.86,9.88635767027266,0,0,1,0,0,0,0,0,1
145,8,1.25,10.977716980635757,0,0,0,1,0,1,0,0,1
146,8,0.97,11.583439099510642,0,0,0,1,0,1,0,0,1
147,4,2.0,9.816202683605532,0,0,1,0,0,1,0,0,1
148,16,2.9,11.590859366057948,1,0,0,0,0,0,1,0,1
149,4,2.1,10.078119620845705,0,0,1,0,0,1,0,0,1
150,16,2.56,11.105867681227291,1,0,0,0,0,0,1,0,1
151,8,2.62,10.776844060703754,1,0,0,0,0,0,1,0,1
152,4,1.9,10.186161103256786,0,0,1,0,0,1,0,0,1
153,16,2.8,11.51989313428582,1,0,0,0,0,0,1,0,1
154,4,1.48,10.96212748563856,0,0,0,1,0,1,0,0,1
155,6,1.91,10.403666298916727,0,0,1,0,0,0,0,0,1
156,4,1.74,10.419692282932576,0,0,0,0,0,1,0,0,1
157,8,1.1,11.157152970844,0,0,0,0,0,1,0,0,1
158,8,1.56,10.931153634628432,0,0,0,0,0,1,0,0,1
159,4,2.1,10.078119620845705,0,0,1,0,0,1,0,0,1
160,4,2.03,9.974497588178815,0,0,1,0,0,0,0,0,1
161,4,3.0,10.666403303650696,0,0,1,0,0,0,1,0,1
162,8,2.13,10.56586207442882,0,0,1,0,0,0,0,0,1
163,16,2.5,10.959350991490268,1,0,0,0,0,0,1,0,1
164,4,2.1,9.827763506006608,0,0,1,0,0,1,0,0,1
165,16,2.4,11.470547260182666,1,0,0,0,0,0,1,0,1
166,4,2.1,9.871367833143674,0,0,1,0,0,1,0,0,1
167,8,2.56,10.942047370678033,1,0,0,0,0,0,1,0,1
168,8,3.0,10.725492220020705,0,0,1,0,0,0,1,0,1
169,4,1.49,10.60095339424009,0,0,1,0,0,1,0,0,1
170,8,1.05,11.18267988243989,0,0,0,1,0,1,0,0,1
171,6,2.71,10.525211768465944,0,0,1,0,0,0,0,0,1
172,4,2.2,9.70890230312988,0,0,1,0,0,0,0,0,0
173,4,2.0,10.167923515707006,0,0,1,0,0,1,0,0,1
174,8,2.5,10.803190260734986,0,0,1,0,0,0,1,0,1
175,8,2.3,10.104611236292678,0,0,1,0,0,1,0,0,1
176,4,2.1,10.082583913974387,0,0,1,0,0,1,0,0,1
177,32,4.4,11.912578515747589,1,0,0,0,0,0,1,0,1
178,8,1.9,10.676292135779944,0,0,1,0,0,0,0,0,1
179,8,1.29,11.288114524334732,0,0,0,0,0,1,0,0,1
180,16,2.02,10.931153634628432,0,0,1,0,0,0,0,0,0
181,8,1.23,11.219074000897615,0,0,0,1,0,1,0,0,1
182,16,1.4,11.49796125761926,0,0,0,0,0,1,0,0,1
183,8,2.0,10.651384247866982,0,0,1,0,0,1,0,0,1
184,8,1.95,11.064804181259648,0,0,1,0,0,0,1,0,0
185,16,2.77,11.320925866649002,0,0,1,0,0,0,1,0,1
186,16,2.06,11.757534260666516,0,0,1,0,0,0,1,0,1
187,8,2.4,10.633572072102885,1,0,0,0,0,0,1,0,0
188,8,1.12,10.872255357854844,0,0,0,1,0,1,0,0,1
189,8,2.8,10.964896292206694,0,0,1,0,0,0,0,0,1
190,16,1.42,11.921470624845266,0,0,0,0,0,1,0,0,1
191,4,1.3,9.536242657247662,0,0,1,0,0,1,0,0,1
192,8,1.3,10.883216300213936,0,0,0,1,0,0,1,0,0
193,8,2.8,10.523780128994506,0,0,1,0,0,0,1,0,0
194,8,1.62,10.70777173269934,0,0,0,0,0,1,0,0,1
195,8,2.5,10.793391597686284,0,0,1,0,0,0,1,0,1
196,32,3.49,12.69144112852859,1,0,0,0,0,0,1,0,1
197,8,1.49,10.841452101115571,0,0,1,0,0,1,0,0,1
198,16,3.35,11.204674904025437,1,0,0,0,0,0,1,0,1
199,8,2.5,10.927333190631044,0,0,1,0,0,0,1,0,1
200,16,2.65,11.495795582706762,1,0,0,0,0,0,1,0,1
201,4,2.1,10.176070200274824,0,0,1,0,0,1,0,0,1
202,8,2.23,10.584910269399517,0,0,1,0,0,0,1,0,1
203,16,3.2,11.442360501250736,1,0,0,0,0,0,1,0,1
204,16,2.8,12.000095897837827,0,0,0,0,1,0,1,0,1
205,16,2.4,11.21835894902589,1,0,0,0,0,0,1,0,0
206,6,2.3,10.060060439307303,0,0,1,0,0,1,0,0,1
207,8,1.21,11.550632725739694,0,0,0,1,0,1,0,0,1
208,8,1.2,11.254189968552817,0,0,0,1,0,1,0,0,1
209,8,2.2,10.367478139624737,0,0,1,0,0,1,0,0,1
210,8,2.4,10.633572072102885,0,0,1,0,0,0,1,0,0
211,16,2.9,11.224776083346525,1,0,0,0,0,0,1,0,1
212,4,2.1,9.83063294843456,0,0,1,0,0,1,0,0,0
213,8,2.2,10.283659467741664,0,0,1,0,0,1,0,0,0
214,8,1.05,11.288114524334732,0,0,0,1,0,1,0,0,1
215,8,1.4,10.812765077263236,0,0,0,1,0,0,0,0,1
216,8,2.8,10.35398720988372,0,0,1,0,0,0,1,0,0
217,8,1.63,10.913845510249091,0,0,1,0,0,0,1,0,1
218,8,1.6,11.02220830408089,0,0,0,1,0,1,0,0,1
219,16,1.62,11.129394827810977,0,0,0,0,0,1,0,0,1
220,8,2.2,10.49374915225888,0,0,1,0,0,0,0,0,0
221,8,1.74,10.776844060703754,0,0,0,0,0,1,0,0,1
222,8,1.2,11.193004457928666,0,0,0,1,0,1,0,0,1
223,8,2.1,10.65264448747927,0,0,1,0,0,1,0,0,1
224,16,4.42,11.781988742399806,1,0,0,0,0,0,1,0,1
225,8,2.2,10.699393467053342,0,0,1,0,0,0,1,0,1
226,16,2.3,10.731341589592168,0,0,1,0,0,0,0,0,1
227,8,2.0,10.620651995737775,0,0,1,0,0,0,1,0,1
228,8,2.69,10.767905453702944,0,0,1,0,0,0,1,0,1
229,8,1.9,11.12154549394652,0,0,1,0,0,0,0,0,1
230,4,2.37,9.964497380151284,0,0,1,0,0,1,0,0,1
231,4,2.1,9.77465368069266,0,0,1,0,0,0,0,0,1
232,16,3.2,11.288114524334732,1,0,0,0,0,0,1,0,1
233,8,1.6,10.73132994821639,0,0,1,0,0,1,0,0,1
234,8,1.6,10.510802297245792,0,0,0,0,0,1,0,0,1
235,16,2.36,10.776844060703754,0,0,1,0,0,0,0,0,0
236,4,2.1,9.941707765355826,0,0,1,0,0,1,0,0,0
237,4,2.2,10.329931067029484,0,0,1,0,0,0,0,0,1
238,32,4.7,12.241725462844624,1,0,0,0,0,0,1,0,1
239,8,2.5,10.716080385838357,1,0,0,0,0,0,1,0,1
240,8,2.2,10.35398720988372,0,0,1,0,0,1,0,0,1
241,8,2.1,11.018720942220474,0,0,1,0,0,0,1,0,1
242,8,2.69,10.765658261746038,0,0,1,0,0,0,1,0,0
243,8,2.56,10.754345923917311,1,0,0,0,0,0,1,0,1
244,8,1.38,10.959350991490268,0,0,0,0,0,1,0,0,1
245,8,2.2,10.868202667404224,0,0,1,0,0,0,0,0,1
246,8,2.04,10.301710499387234,0,0,1,0,0,1,0,0,1
247,16,3.6,11.981595204981144,1,0,0,0,0,0,1,0,1
248,4,1.49,10.490273717104664,0,0,1,0,0,1,0,0,1
249,8,1.37,11.596266113070396,0,0,0,1,0,1,0,1,0
250,8,2.08,10.683645110085203,0,0,0,0,0,1,0,0,1
251,16,4.3,11.470547260182666,1,0,0,0,0,0,1,0,1
252,4,1.68,10.126163794678414,0,0,1,0,0,0,0,0,1
253,8,1.37,11.49796125761926,0,0,0,0,0,1,0,0,1
254,4,3.0,10.529494430257945,0,0,1,0,0,0,1,0,1
255,8,1.41,10.83096982484206,0,0,0,1,0,1,0,0,1
256,8,1.91,10.075655737865564,0,0,1,0,0,0,0,0,1
257,16,2.9,10.94064137183354,0,0,1,0,0,0,1,0,1
258,16,4.14,11.799206957067089,1,0,0,0,0,0,1,0,1
259,8,2.0,11.413356147904066,0,0,0,0,0,0,1,0,1
260,8,2.8,11.016097416448089,0,0,1,0,0,0,0,0,1
261,4,2.2,10.07138558866436,0,0,1,0,0,1,0,0,0
262,4,2.1,10.55758616512496,0,0,1,0,0,1,0,0,1
263,4,2.18,10.463245044716745,0,0,1,0,0,1,0,0,1
264,8,2.24,10.312386757378574,0,0,1,0,0,0,0,0,1
265,8,2.67,10.658921971998408,0,0,0,0,0,1,0,0,1
266,8,1.1,11.288114524334732,0,0,0,0,0,1,0,0,1
267,4,2.2,10.121890283901031,0,0,1,0,0,1,0,0,0
268,8,2.5,10.901156223342602,0,0,1,0,0,0,1,0,1
269,8,2.05,10.755482933704386,0,0,1,0,0,1,0,0,1
270,8,1.37,11.555699396421488,0,0,0,1,0,1,0,1,0
271,16,3.2,11.320925866649002,1,0,0,0,0,0,0,0,1
272,8,2.14,10.57552675900535,0,0,1,0,0,0,0,0,0
273,16,1.36,11.799206957067089,0,0,0,0,0,1,0,0,1
274,8,2.2,10.675061366393813,0,0,1,0,0,0,1,0,1
275,12,2.3,10.545140618545505,0,0,1,0,0,1,0,0,1
276,8,2.8,10.977716980635757,0,0,1,0,0,0,0,0,0
277,8,2.2,10.588945244611692,0,0,1,0,0,0,1,0,1
278,4,2.8,10.167923515707006,0,0,1,0,0,1,0,0,1
279,8,2.8,10.71962021254348,0,0,1,0,0,0,1,0,0
280,6,2.8,10.73132994821639,0,0,1,0,0,0,1,0,1
281,4,2.25,10.034684221813931,0,0,1,0,0,0,0,0,0
282,8,2.5,10.695781181367428,1,0,0,0,0,0,1,0,1
283,6,2.2,10.336863503805128,0,0,1,0,0,1,0,0,1
284,8,3.0,10.833075088777523,0,0,1,0,0,0,1,0,1
285,12,2.15,10.46628456073464,0,0,1,0,0,1,0,0,1
286,8,1.95,10.975895486507364,0,0,1,0,0,1,0,0,1
287,8,1.7,10.860047678274915,0,0,0,1,0,0,1,0,1
288,16,2.5,11.047982926769505,1,0,0,0,0,0,1,0,1
289,8,2.2,10.466299735126338,0,0,1,0,0,0,1,0,0
290,2,2.19,9.268865850956626,0,0,1,0,0,1,0,0,0
291,8,3.0,11.0547454208418,1,0,0,0,0,0,1,0,1
292,8,2.54,10.167923515707006,0,0,1,0,0,1,0,0,1
293,8,2.0,11.487085674623,0,0,1,0,0,0,1,0,1
294,8,2.05,10.580858947180335,0,0,1,0,0,1,0,0,1
295,8,3.2,11.144911042902732,1,0,0,0,0,0,1,0,1
296,8,2.5,10.862092668762644,0,0,1,0,0,0,1,0,0
297,16,3.42,11.942792677133784,0,0,0,0,1,0,1,0,1
298,6,2.4,10.188167121983652,0,0,1,0,0,0,0,0,1
299,16,1.63,11.267217235406594,0,0,0,1,0,0,1,0,1
300,4,1.3,10.208009042782656,0,0,1,0,0,1,0,0,1
301,16,2.9,11.635675345406062,1,0,0,0,0,0,1,0,1
302,6,2.8,10.450993742936223,0,0,1,0,0,0,1,0,1
303,8,2.2,10.283659467741664,0,0,1,0,0,0,1,0,0
304,8,2.5,11.118388427393754,1,0,0,0,0,0,1,0,1
305,4,2.2,9.861637279518702,0,0,1,0,0,1,0,0,0
306,16,1.28,11.563884703567355,0,0,0,0,0,1,0,0,1
307,8,2.2,10.925417481232904,0,0,1,0,0,0,1,0,1
308,8,2.3,10.683645110085203,0,0,1,0,0,0,1,0,1
309,4,1.86,10.126163794678414,0,0,1,0,0,1,0,0,1
310,8,1.1,10.882315804880689,0,0,1,0,0,1,0,0,1
311,16,1.21,11.799206957067089,0,0,0,1,0,1,0,0,1
312,16,2.8,11.624777346052769,1,0,0,0,0,0,1,0,1
313,8,2.23,10.126163794678414,0,0,1,0,0,0,0,0,1
314,2,1.1,9.592332123898704,0,0,0,0,0,1,0,0,1
315,8,2.33,10.71371352082809,0,0,1,0,0,0,0,0,1
316,16,1.29,11.7789960831843,0,0,0,0,0,1,0,0,1
317,4,1.45,10.106570100778011,0,0,1,0,0,1,0,0,0
318,8,1.95,10.863113597896753,0,0,1,0,0,1,0,0,1
319,4,1.4,10.159709917169616,0,0,1,0,0,1,0,0,1
